CNTSTUID,AGE,RESILIENCE,COMPETE,GFOFAIL,HISEI,HEDRES,PARED,SCREADCOMP,SCREADDIFF,JOYREAD,STIMREAD,TMINS,ST188Q01HA,ST188Q02HA,ST188Q03HA,ST188Q06HA,ST188Q07HA,ST183Q01HA,ST183Q02HA,ST183Q03HA,reading_fluency,ST184Q01HA
55403864,15.5,-0.0614,0.1956,0.5949,75.43,1.1793,15,1.8839,-1.126,1.1914,-0.3335,1250,3,3,3,3,3,2,3,4,18,1
55406281,16.08,0.7923,2.0054,-1.8939,70.5,1.1793,14,0.1222,0.1856,-0.8211,-0.3644,1800,4,1,4,4,4,1,1,1,19,1
55407117,15.83,-0.5319,0.1956,1.8905,75.54,1.1793,12,-0.825,1.2658,-0.7029,0.2432,1500,4,3,2,2,3,4,4,4,16,2
55401633,16.08,0.7657,0.571,-0.9295,NA,-1.0118,15,-1.497,0.795,0.2694,0.1494,2160,3,3,4,4,3,1,2,2,12,2
55402768,15.83,-0.0614,-0.733,0.4637,79.74,1.1793,14,0.1222,-0.0697,0.0127,0.2751,1500,3,3,3,3,3,3,3,3,16,3
55405941,15.58,-0.0721,-0.2661,0.4637,51.56,-0.1357,12,-0.7391,0.3787,1.7513,-0.9263,NA,3,3,3,NA,NA,3,3,3,17,2
55406301,16.08,-0.5176,-0.9792,0.5949,58.77,-0.4396,15,1.8839,-1.8876,0.3171,-0.62,1500,3,3,3,2,3,2,3,4,18,3
55406595,15.67,-0.0614,0.7871,-0.3799,76.65,-1.1878,14,-1.0985,1.2421,-0.2704,0.5102,1500,3,3,3,3,3,2,2,3,19,2
55401538,15.67,0.3858,1.1811,-0.3799,22.77,1.1793,10,-0.7391,0.5082,-1.0727,-0.0073,NA,3,4,3,3,3,2,2,3,11,2
55400007,16.25,-0.0614,-0.9792,0.4637,39.02,-0.8243,10,0.1222,0.9065,-0.2704,0.5102,NA,3,3,3,3,3,3,3,3,17,3
55401471,15.42,0.3858,0.1956,-0.4342,NA,-0.5492,10,0.1222,0.409,0.3568,-0.0999,NA,3,4,3,3,3,3,2,2,19,2
55407028,15.58,1.1262,0.7262,-1.8939,72.96,-0.4903,10,0.1222,0.409,-0.2388,0.4798,1500,3,4,4,4,3,1,1,1,18,3
55403954,15.25,-1.0326,-2.345,-0.3009,30.78,-1.1443,14,NA,0.8812,0.7269,-0.2622,1800,1,2,3,4,2,1,3,2,18,1
55407094,15.92,0.5075,-0.4631,-0.9295,17,-0.5813,15,-0.7391,1.1604,0.6977,-0.3644,1500,3,3,2,4,4,1,2,2,17,3
55404748,15.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
55406330,15.25,0.3858,1.2643,0.1097,80.46,1.1793,15,0.1222,-1.8876,-0.2704,1.1543,1500,3,4,3,3,3,2,3,3,18,2
55407370,15.58,1.5024,2.0054,1.8905,50.15,0.0477,14,0.1222,-0.0362,1.3052,0.2751,1500,4,4,4,4,3,4,4,4,19,1
55400306,15.83,-0.8579,-0.2047,1.8905,57.25,0.0477,10,0.1222,0.9065,-0.7637,-1.7115,1375,3,4,2,2,2,4,4,4,17,3
55402444,15.58,0.7396,-0.6888,-1.2319,65.23,1.1793,10,-0.5485,-1.126,-1.0796,0.5102,1375,3,4,4,3,3,2,1,2,16,1
55402728,15.67,0.7396,-0.2661,0.4637,63.03,0.0477,15,1.8839,-1.8876,0.0127,0.7904,1375,3,4,4,3,3,3,3,3,17,1
55402843,15.92,-0.4684,-0.4112,-0.9295,62.39,1.1793,10,0.1222,-1.0064,0.8628,0.4798,1800,3,3,2,3,3,1,2,2,17,3
55403203,15.58,-0.7737,0.571,-0.1748,21.13,-0.1357,12,-2.4403,1.2421,-1.9715,-0.2336,1925,3,3,1,3,3,3,3,1,16,2
55404660,15.58,-0.5176,NA,-0.4342,50.37,-0.0531,10,0.1222,0.409,0.5572,-2.3003,1375,3,3,3,2,3,3,2,2,10,2
55400173,15.25,NA,-0.2661,NA,25.95,-1.5094,14,NA,0.409,-0.6278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA
55400735,15.67,-0.0614,0.1956,0.4637,50.15,-0.5668,12,0.1222,1.2421,-2.7114,-0.62,2695,3,3,3,3,3,3,3,3,16,2
55406237,15.83,-0.0614,0.1956,-0.13,33.76,0.0477,10,-0.7391,1.2421,-0.4556,-0.2336,1250,3,3,3,3,3,2,3,2,17,3
55406592,16.17,-0.8109,-0.9792,-0.3799,77.1,1.1793,15,1.2374,0.0755,1.7916,2.0871,NA,3,3,2,2,3,2,2,3,19,1
55407141,15.83,-0.8109,0.1956,0.4637,57.64,0.2646,12,0.1222,0.409,-1.352,-0.3335,1375,3,3,2,2,3,3,3,3,17,3
55403072,15.83,-0.096,0.7871,0.4637,74.79,0.0477,14,0.1222,-0.524,-0.9609,0.898,1500,3,4,3,2,3,3,3,3,18,2
55406390,15.42,-1.0974,-0.2047,0.8794,82.41,1.1793,14,-2.4403,2.7752,-1.1285,-0.62,NA,3,3,2,2,2,3,3,4,17,3
55404019,16.08,0.2883,-0.357,0.8207,36.92,-1.7993,12,-0.4419,0.8207,-0.9873,0.8945,1860,4,3,4,2,3,4,3,3,18,3
55404798,15.92,0.7396,-0.9792,0.4637,70.89,1.1793,15,0.6994,0.409,2.6131,1.0741,1500,3,4,4,3,3,3,3,3,18,2
55404840,15.42,-0.4684,-0.733,-0.687,43.33,1.1793,NA,0.6994,-0.663,-0.5262,-0.9225,1500,3,3,2,3,3,2,2,2,18,1
55405541,15.75,-0.0614,0.1956,0.4637,65.01,0.0477,10,-0.4419,-0.0697,-0.7826,0.0236,NA,3,3,3,3,3,3,3,3,16,2
55406361,16.08,-0.0614,0.1956,0.4637,NA,-0.1357,NA,-0.849,1.2421,-1.7421,0.2751,NA,3,3,3,3,3,3,3,3,17,3
55400886,16.08,-0.0614,0.1956,0.4637,71.55,-2.3391,10,NA,NA,0.1372,-0.0073,1815,3,3,3,3,3,3,3,3,13,3
55402035,15.5,0.0501,0.7871,1.8905,32.5,-1.3525,15,0.1222,-0.524,-1.0322,0.2464,NA,3,3,2,3,4,4,4,4,19,1
55406206,15.75,-0.0614,0.1956,0.052,71.55,-1.6145,10,0.1222,0.8207,1.3398,-0.3644,NA,3,3,3,3,3,3,3,2,17,2
55400880,15.67,-0.4684,-0.5707,0.4637,32.5,-0.4396,15,0.1222,0.9065,0.3568,-0.203,NA,3,3,2,3,3,3,3,3,12,3
55402770,15.75,-1.0974,-0.2047,0.4637,24.98,-0.8449,10,-1.0985,1.2421,-0.4556,-0.62,NA,3,3,2,2,2,3,3,3,15,3
55402846,16.25,-0.8579,-0.9792,-0.2006,80.46,-0.1357,15,0.6994,-0.663,2.0787,0.2432,2200,3,4,2,2,2,3,2,3,19,1
55404161,16.25,-0.0614,0.2653,1.4083,79.74,1.1793,15,0.6994,0.409,-0.2406,-0.2336,1440,3,3,3,3,3,3,4,4,15,1
55402044,15.25,-0.0328,1.2643,1.8905,73.91,0.0477,12,0.1222,-1.8876,0.6934,2.0871,1650,3,4,2,3,3,4,4,4,18,2
55406835,15.33,-0.0614,0.1244,-0.13,49.3,0.2646,15,-0.4419,0.409,0.4627,0.5102,1800,3,3,3,3,3,2,3,2,19,1
55408057,16,0.3858,0.571,0.4637,71.55,1.1793,14,1.8839,-1.126,0.8628,0.7586,1500,3,4,3,3,3,3,3,3,16,2
55407023,15.42,-0.4292,-0.6888,-1.8939,57.03,1.1793,10,0.1222,0.9899,1.0781,-0.0042,NA,3,3,2,2,4,1,1,1,17,3
55403070,16.08,-0.4684,-0.4112,-0.687,70.57,1.1793,15,0.6632,-1.8876,0.7568,0.2432,1440,3,3,2,3,3,2,2,2,11,3
55404535,16.08,-0.4684,-1.2263,0.1097,74.66,-0.6947,14,1.8839,-0.0697,0.7546,-0.0999,1500,3,3,2,3,3,2,3,3,19,2
55404364,15.67,-0.0614,0.7871,0.4637,20.95,-2.4403,14,-0.849,0.9065,0.3252,-0.103,NA,3,3,3,3,3,3,3,3,18,3
55406946,16.08,-1.0812,0.1956,0.4637,19.78,-0.8243,12,-1.0985,1.2421,-1.1285,0.5102,NA,3,2,2,3,2,3,3,3,10,3
55407563,15.33,2.3693,-1.1741,-0.3009,75.54,0.2646,12,-2.4403,-1.8876,0.0022,0.0937,1690,4,4,4,4,4,1,3,2,12,1
55406955,16.08,-0.4684,0.1956,-0.4342,16.38,0.0268,10,-0.4419,0.8812,-0.5437,-0.62,NA,3,3,2,3,3,3,2,2,11,3
55404253,15.83,1.6219,0.7871,0.4637,32.2,-0.5813,15,0.1222,0.3059,1.0781,0.7551,NA,4,4,3,4,4,3,3,3,13,1
55404632,15.75,-1.2862,2.0054,-0.0288,17,-0.9057,10,-1.2042,0.7693,-0.8407,0.5102,NA,3,2,2,1,3,4,2,3,18,1
55407559,15.33,-0.0614,1.2643,-0.687,23.57,-1.4924,10,0.1222,0.5082,-0.0176,0.5102,1500,3,3,3,3,3,2,2,2,15,2
55403711,16.08,-0.0614,-0.8705,-0.13,65.42,1.1793,15,-1.0985,0.9065,-0.7983,-0.62,1440,3,3,3,3,3,2,3,2,18,2
55404659,15.67,-0.5176,-0.9792,1.1911,NA,1.1793,15,0.1222,-0.0697,0.3568,2.0871,1440,3,3,3,2,3,2,4,4,16,2
55404861,15.42,-0.0614,1.1811,1.8905,NA,1.1793,15,1.8839,1.2421,-0.6483,-0.0716,1875,3,3,3,3,3,4,4,4,12,2
55407599,15.33,NA,NA,NA,82.41,1.1793,15,1.8839,-0.6311,0.5572,-0.1282,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
55407657,15.67,0.7872,0.1956,0.052,43.85,-0.6853,14,-0.7391,-0.0697,0.0797,0.7904,2800,3,4,3,4,3,3,3,2,3,3
55400262,15.42,-0.0614,-0.9792,0.4637,62.13,0.0477,14,0.1222,0.5082,-0.6863,-0.62,1440,3,3,3,3,3,3,3,3,19,3
55402205,15.33,0.4558,-0.2047,-0.3498,70.5,1.1793,15,0.1222,-0.524,1.1891,1.1847,NA,3,3,3,3,4,2,3,1,16,1
55402790,15.92,2.3693,-0.2661,-1.8939,63.31,-0.3792,14,-0.4419,-1.1635,-1.352,0.2432,1800,4,4,4,4,4,1,1,1,17,2
55404033,16.25,-0.5176,1.1811,0.4637,NA,1.1793,15,0.1222,-0.524,-0.2704,-0.2288,1500,3,3,3,2,3,3,3,3,16,2
55406110,15.33,-1.5245,-0.2047,1.8905,29.73,-0.1357,15,-0.5485,1.2658,-1.3532,-0.3302,1740,4,2,1,1,2,4,4,4,16,1
55407932,15.83,0.4558,1.2643,-0.7592,81.13,-0.8449,15,1.8839,-1.8876,-1.0322,0.2751,1440,3,3,3,3,4,3,2,1,17,1
55401559,15.58,-0.8273,0.1956,1.0944,55.96,-1.8813,10,0.1222,0.409,-0.5262,-2.3003,NA,3,2,3,2,3,4,4,2,17,3
55401960,15.33,-0.0614,2.0054,-0.3799,24.45,-1.2049,10,-0.849,0.3787,-0.4556,0.5102,NA,3,3,3,3,3,2,2,3,18,2
55406891,15.33,0.7251,-0.9792,-0.3799,58.77,-0.6853,10,-0.4089,0.409,-0.1042,-0.3644,1440,4,4,3,3,3,2,2,3,15,3
55401501,16,-1.0583,-0.5707,NA,60.44,-1.4924,12,-0.4419,0.5082,-0.4081,-0.62,NA,3,2,2,2,3,3,3,NA,19,1
55407746,16.08,NA,NA,NA,68.7,-1.5216,15,-0.7391,0.9899,-0.7077,0.0236,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
55400749,15.92,-0.0614,0.1956,-0.687,24.53,-2.3391,10,-0.825,0.409,-0.7261,1.0741,NA,3,3,3,3,3,2,2,2,18,3
55402272,15.75,-1.0352,-0.8279,-0.2006,NA,NA,10,-1.0985,1.2421,-1.1538,-0.62,1500,2,3,2,2,3,3,2,3,15,2
55405547,15.33,-0.096,2.0054,0.3335,18.08,-1.2622,15,-0.8729,0.6798,-1.0555,0.7551,NA,3,4,3,2,3,4,3,2,19,2
55401043,16.08,-0.0614,0.1956,0.4637,76.65,1.1793,14,0.6994,-0.0697,0.5572,-0.6237,1440,3,3,3,3,3,3,3,3,16,2
55401769,15.83,0.8496,-0.6151,0.4637,75.5,0.0477,15,-1.4704,0.795,-1.9715,-0.3335,1620,3,3,3,4,4,3,3,3,18,2
55403043,15.67,-0.8738,-0.4112,0.4637,86.72,1.1793,15,1.8839,-1.8876,0.9011,-2.3003,1680,3,3,3,2,2,3,3,3,11,2
55405453,15.75,0.3444,0.1956,-0.687,56.57,1.1793,14,0.1222,-0.0697,-0.0872,2.0871,1400,4,3,3,3,3,2,2,2,19,1
55406008,15.5,0.8496,0.1244,0.4637,59.89,-0.1357,15,0.1919,-0.524,-0.917,-2.3003,1400,3,3,3,4,4,3,3,3,19,4
55407089,15.58,-0.4684,1.2643,-0.9295,72.27,0.0477,15,0.6994,-0.524,-0.5262,-0.1075,1440,3,3,2,3,3,1,2,2,17,2
55407235,15.58,-0.8109,-0.733,-0.13,75.5,0.0477,14,0.1222,0.409,-0.5262,-0.9225,1440,3,3,2,2,3,2,3,2,17,2
55402331,15.83,-0.4684,0.1956,-0.13,75.54,-1.2622,12,-0.825,1.2658,-0.2704,-1.2261,1320,3,3,2,3,3,2,3,2,13,3
55404337,15.58,-0.0614,0.1956,0.8207,76.65,1.1793,15,-1.0985,1.2421,-1.1285,0.5102,1740,3,3,3,3,3,4,3,3,15,3
55408055,15.67,-0.0614,0.1956,-0.687,17,-0.6444,10,0.1222,0.9065,0.523,0.5102,1250,3,3,3,3,3,2,2,2,18,2
55404619,15.42,-0.8223,-0.6151,1.1911,76.65,-0.208,14,1.2374,-0.524,2.6131,0.7551,1450,3,4,1,3,2,2,4,4,18,2
55406150,15.92,-0.4957,1.2643,0.4637,68.88,1.1793,12,0.1222,-0.524,-0.2704,-0.3644,1650,3,4,2,2,3,3,3,3,17,2
55407216,16.17,-1.0677,-0.5707,0.4637,50.57,0.031,14,-0.4089,0.409,0.1499,-1.515,1450,3,3,1,3,2,3,3,3,19,2
55400357,15.92,-0.2056,0.7871,1.4083,17,1.1793,15,0.1222,-0.0697,1.7513,-0.3644,1705,3,4,4,2,2,3,4,4,18,2
55400468,15.58,1.1497,-0.0326,1.0944,80.92,0.0477,15,1.8839,-1.8876,2.0787,1.4931,1650,4,4,3,3,4,4,4,2,17,1
55404013,15.92,1.1262,0.1956,-0.3799,79.74,-0.4396,10,0.6994,-1.0064,-1.4526,-0.62,1500,3,4,4,4,3,2,2,3,15,1
55406292,15.58,1.5024,-1.5513,-1.1858,43.85,-0.9779,12,1.8839,-1.0064,-0.2406,0.898,1500,4,4,4,4,3,1,1,3,16,2
55407787,16.08,-0.4684,-0.5707,0.8794,27.91,0.0477,12,0.8214,-1.0064,2.0787,0.2464,NA,3,3,2,3,3,3,3,4,16,2
55400043,16.17,-0.0614,-0.2661,-0.687,71.39,0.0477,12,-1.3776,0.9065,-1.6062,0.1808,1250,3,3,3,3,3,2,2,2,18,3
55400912,15.83,-1.497,-0.5707,1.3423,25.06,-0.4903,10,0.1222,0.0755,0.1984,-0.62,1375,2,3,2,1,2,4,4,3,12,1
55400771,16.08,-0.0614,0.1956,0.4637,88.7,-2.2417,15,1.8839,2.7752,0.2641,1.5391,NA,3,3,3,3,3,3,3,3,13,3
55405776,15.67,0.4793,0.571,1.1422,30.78,0.0477,14,-0.4089,0.5082,-0.7029,-0.3335,1440,3,4,2,3,4,3,4,3,12,2
55400240,16,-0.0614,-0.5707,1.8905,51.56,1.1793,10,1.2374,-1.0064,-0.8407,0.2464,1650,3,3,3,3,3,4,4,4,16,2
55401162,15.67,-0.5384,1.1811,1.1911,55.25,-1.2049,14,1.8839,-0.524,2.6131,0.5135,1350,4,1,4,1,4,2,4,4,19,2
55401392,15.5,-0.8109,-0.2047,0.4637,63.03,0.0477,15,0.1222,0.9065,-2.7114,-0.9225,1105,3,3,2,2,3,3,3,3,13,2
55403248,16.25,-0.8109,-0.4112,1.8905,65.12,-0.8449,15,-0.4089,1.5959,0.2363,0.5408,1620,3,3,2,2,3,4,4,4,18,2
55403841,15.33,0.4558,0.7871,0.052,65.12,1.1793,14,0.1222,-0.0697,-0.3068,-0.9263,1350,3,3,3,3,4,3,3,2,16,3
55401454,15.83,-1.7374,0.7262,1.8905,64.44,-1.8124,15,-2.4403,2.7752,-1.0727,-0.0999,NA,3,3,1,1,1,4,4,4,15,4
55402303,15.67,-0.0614,0.1956,1.8905,58.77,1.1793,15,0.1222,0.9065,0.0995,0.7551,780,3,3,3,3,3,4,4,4,17,2
55404015,16.17,-1.321,-0.2661,0.4637,68.7,-0.4903,15,0.1222,-1.8876,1.01,0.0205,1470,3,3,2,1,2,3,3,3,18,2
55404125,15.58,-0.0614,-0.2661,-0.687,72.94,0.0477,12,0.1222,-1.0064,0.0127,0.7904,1470,3,3,3,3,3,2,2,2,17,2
55402772,15.75,-0.5176,0.1956,1.8905,43.76,1.1793,12,1.8839,-0.0697,0.638,0.6118,NA,3,3,3,2,3,4,4,4,15,1
55403175,16,-0.4531,-0.9792,-0.687,62.13,-0.4396,10,0.1222,-0.0697,-0.1542,1.0383,1260,2,3,3,3,3,2,2,2,12,2
55403686,16.17,-0.0614,0.7262,1.8905,73.71,1.1793,10,1.8839,-0.0697,1.3493,-1.7115,1200,3,3,3,3,3,4,4,4,15,2
55404025,15.75,0.3858,-0.2661,1.4083,NA,1.1793,12,-0.4419,0.409,-0.7553,0.5102,2625,3,4,3,3,3,3,4,4,15,2
55405388,15.83,-0.6128,-0.8705,-0.1558,85.41,0.0477,15,-0.5485,-0.524,-1.9715,0.4764,1500,3,4,3,3,1,2,2,4,15,1
55404172,15.5,-0.7737,-0.2047,0.4637,76.65,0.2646,14,0.1222,0.9065,0.638,2.0871,1500,3,3,1,3,3,3,3,3,17,1
55405184,15.67,0.4107,-0.2047,1.3423,67.11,0.0477,15,1.8839,-0.663,2.0787,1.4931,NA,4,4,2,2,4,4,4,3,19,2
55407760,15.92,0.3858,-0.9792,-0.687,48.27,0.0477,12,-1.0985,0.795,-0.9016,1.0419,1500,3,4,3,3,3,2,2,2,14,2
55401071,15.42,-0.8738,-0.2661,1.4083,76.49,0.0477,15,0.1222,-1.8876,2.6131,-1.7115,1375,3,3,3,2,2,3,4,4,17,3
55401871,15.5,-0.0614,-0.2661,-0.4342,73.38,1.1793,15,0.1222,0.3787,-0.7553,1.4931,1375,3,3,3,3,3,3,2,2,17,1
55403088,16,-0.0762,-1.5513,-1.8939,70.5,1.1793,15,1.2374,0.409,2.6131,0.5135,NA,3,3,4,1,4,1,1,1,17,2
55403663,16,-0.8109,-0.9792,1.8905,76.65,1.1793,14,0.1222,-0.416,0.0127,-2.3003,1375,3,3,2,2,3,4,4,4,18,2
55406972,15.67,-0.0614,2.0054,-0.687,NA,1.1793,15,0.1222,-0.0697,0.638,0.7904,900,3,3,3,3,3,2,2,2,7,3
55400795,15.83,1.217,-0.2047,-0.4342,80.46,0.7687,10,0.6994,-1.8876,-0.7077,-0.0042,1375,3,4,3,4,4,3,2,2,18,1
55407323,16.17,-0.4957,0.7871,1.4083,82.41,-0.3792,15,1.2374,-1.126,1.7513,1.1506,1440,3,4,2,2,3,3,4,4,18,2
55402244,15.92,-1.0884,0.1956,1.1422,70.4,1.1793,15,1.1971,1.6792,0.3252,0.2464,NA,2,3,3,2,2,3,4,3,16,2
55403216,16,-0.8109,0.3709,0.4637,20.91,0.031,15,-1.4439,0.409,-0.9655,0.5068,1500,3,3,2,2,3,3,3,3,15,1
55405217,15.33,-0.0614,0.7871,-0.4939,76.65,-0.8532,12,-0.7391,-0.0697,-2.7114,-0.62,NA,3,3,3,3,3,4,2,1,17,3
